Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71604365,2,"Wednesday, July 20, 2011 13:17:34 UTC",37.4763,-121.8233,1.1,7.00,17,"San Francisco Bay area, California"
ci,15021108,2,"Wednesday, July 20, 2011 13:16:32 UTC",35.9682,-117.6563,1.3,3.60,22,"Central California"
us,2011npa4,6,"Wednesday, July 20, 2011 13:09:44 UTC",38.5953,142.0017,4.5,48.10,12,"near the east coast of Honshu, Japan"
uw,07201305,1,"Wednesday, July 20, 2011 13:05:50 UTC",48.2306,-121.6476,1.0,1.30, 3,"Washington"
ak,10273131,1,"Wednesday, July 20, 2011 13:05:20 UTC",63.0892,-151.4363,1.3,0.00, 8,"Central Alaska"
nm,072011b,A,"Wednesday, July 20, 2011 12:57:54 UTC",35.3403,-92.6912,2.1,7.40, 9,"Arkansas"
ak,10273124,1,"Wednesday, July 20, 2011 12:46:19 UTC",63.0603,-149.3337,1.4,105.20,18,"Central Alaska"
uw,07201239,1,"Wednesday, July 20, 2011 12:39:51 UTC",48.4165,-122.8406,1.3,23.80,21,"Strait of Juan de Fuca, Washington"
ci,15021076,2,"Wednesday, July 20, 2011 12:38:07 UTC",32.6660,-116.8193,1.2,13.50,15,"Southern California"
nc,71604350,1,"Wednesday, July 20, 2011 12:11:26 UTC",38.8278,-122.8653,1.5,3.30,31,"Northern California"
us,c000517d,5,"Wednesday, July 20, 2011 11:54:51 UTC",-29.4513,-176.5757,4.9,34.80,22,"Kermadec Islands region"
ci,15021052,2,"Wednesday, July 20, 2011 11:40:57 UTC",33.4813,-116.5707,1.2,9.70,57,"Southern California"
nm,072011a,A,"Wednesday, July 20, 2011 11:32:09 UTC",35.3206,-92.5663,2.3,2.30,11,"Arkansas"
ci,15021044,2,"Wednesday, July 20, 2011 11:14:25 UTC",35.3918,-119.9292,1.6,11.70,15,"Central California"
ak,10273109,1,"Wednesday, July 20, 2011 11:13:25 UTC",63.1151,-148.6377,2.0,65.80,26,"Central Alaska"
us,c000516g,6,"Wednesday, July 20, 2011 11:01:08 UTC",10.9638,-87.7951,4.6,23.20,68,"off the coast of Costa Rica"
ak,10273107,1,"Wednesday, July 20, 2011 10:40:18 UTC",59.9413,-151.8368,1.7,53.70,14,"Kenai Peninsula, Alaska"
ci,15021028,2,"Wednesday, July 20, 2011 10:19:22 UTC",35.9527,-117.3410,1.5,3.30,28,"Central California"
nc,71604300,4,"Wednesday, July 20, 2011 10:17:51 UTC",36.8070,-120.9003,1.1,6.30, 9,"Central California"
nc,71604275,2,"Wednesday, July 20, 2011 09:49:26 UTC",36.0760,-120.6567,1.5,2.70,42,"Central California"
nc,71604270,0,"Wednesday, July 20, 2011 09:43:42 UTC",38.8357,-122.7857,1.1,2.10,16,"Northern California"
ci,15021020,2,"Wednesday, July 20, 2011 09:19:25 UTC",33.9647,-117.2293,1.2,14.70,84,"Greater Los Angeles area, California"
nc,71604260,0,"Wednesday, July 20, 2011 09:15:02 UTC",38.7407,-122.6812,1.9,1.50,11,"Northern California"
ak,10273093,1,"Wednesday, July 20, 2011 08:38:47 UTC",62.1481,-150.3961,2.3,4.60,27,"Central Alaska"
ci,15021004,2,"Wednesday, July 20, 2011 08:35:19 UTC",32.7787,-116.1805,1.3,8.50,37,"Southern California"
ci,15020988,2,"Wednesday, July 20, 2011 08:06:45 UTC",32.2740,-116.5402,1.6,11.70,22,"Baja California, Mexico"
ci,15020972,2,"Wednesday, July 20, 2011 07:23:32 UTC",35.7403,-118.0458,1.2,6.30,32,"Central California"
pr,11201003,0,"Wednesday, July 20, 2011 07:21:40 UTC",18.1539,-66.9609,2.2,6.80, 5,"Puerto Rico"
pr,11201004,0,"Wednesday, July 20, 2011 07:18:02 UTC",19.2070,-67.5419,2.7,43.80, 4,"Puerto Rico region"
nc,71604185,3,"Wednesday, July 20, 2011 07:13:20 UTC",37.0632,-121.2117,1.6,3.30,51,"Northern California"
hv,60248736,1,"Wednesday, July 20, 2011 07:01:20 UTC",19.3790,-155.2417,2.5,3.50,18,"Island of Hawaii, Hawaii"
nc,71604140,7,"Wednesday, July 20, 2011 06:19:36 UTC",37.6508,-119.0458,2.0,3.10,36,"Long Valley area, California"
us,c000512w,4,"Wednesday, July 20, 2011 06:12:18 UTC",24.0877,122.2477,4.8,28.20,49,"Taiwan region"
uw,07200602,1,"Wednesday, July 20, 2011 06:02:27 UTC",48.2348,-121.6439,1.7,6.60, 5,"Washington"
nc,71604130,2,"Wednesday, July 20, 2011 05:56:25 UTC",38.9803,-123.0315,1.3,5.80,11,"Northern California"
us,c000512r,3,"Wednesday, July 20, 2011 05:52:38 UTC",-3.4616,99.3154,4.4,30.80,36,"southwest of Sumatra, Indonesia"
ci,15020940,0,"Wednesday, July 20, 2011 05:52:18 UTC",33.4927,-116.6110,1.8,14.40,16,"Southern California"
ci,15020924,2,"Wednesday, July 20, 2011 05:38:02 UTC",33.2220,-116.7425,1.1,12.80,56,"Southern California"
pr,11201005,0,"Wednesday, July 20, 2011 05:36:41 UTC",18.3829,-67.6299,2.7,127.40, 3,"Mona Passage, Puerto Rico"
pr,11201002,0,"Wednesday, July 20, 2011 05:33:34 UTC",19.0419,-67.7239,2.5,11.60, 4,"Puerto Rico region"
pr,11201001,0,"Wednesday, July 20, 2011 05:30:04 UTC",18.1329,-67.5479,3.0,28.40, 6,"Mona Passage, Puerto Rico"
nc,71604085,2,"Wednesday, July 20, 2011 05:19:14 UTC",37.6303,-119.3910,1.1,8.30, 9,"Central California"
ci,10190790,2,"Wednesday, July 20, 2011 05:00:02 UTC",32.6258,-115.7365,1.7,8.10,16,"Baja California, Mexico"
ci,15020900,2,"Wednesday, July 20, 2011 04:59:52 UTC",32.6400,-115.7420,1.5,6.30,13,"Baja California, Mexico"
pr,11201000,0,"Wednesday, July 20, 2011 04:59:11 UTC",18.5809,-67.6940,3.2,81.00, 6,"Puerto Rico region"
nn,00343445,8,"Wednesday, July 20, 2011 04:52:39 UTC",37.1561,-117.3742,1.9,10.80,14,"Nevada"
nn,00343443,8,"Wednesday, July 20, 2011 04:41:58 UTC",38.4175,-118.7541,2.2,0.30,13,"Nevada"
nc,71604040,2,"Wednesday, July 20, 2011 03:48:34 UTC",37.4268,-118.5557,1.2,6.60,12,"Central California"
nc,71604035,1,"Wednesday, July 20, 2011 03:42:45 UTC",38.8258,-122.8315,1.5,1.80,21,"Northern California"
mb,27308,1,"Wednesday, July 20, 2011 03:39:25 UTC",47.7381,-113.7330,1.2,3.90,12,"western Montana"
ak,10273053,1,"Wednesday, July 20, 2011 03:24:00 UTC",63.1859,-150.5097,1.3,122.40, 7,"Central Alaska"
ci,15020876,5,"Wednesday, July 20, 2011 03:02:18 UTC",33.8695,-118.3058,1.6,12.70,18,"Greater Los Angeles area, California"
ak,10273044,1,"Wednesday, July 20, 2011 03:00:55 UTC",61.3849,-146.7606,2.5,15.30,58,"Southern Alaska"
us,c000511h,7,"Wednesday, July 20, 2011 02:46:14 UTC",52.5616,-31.7667,4.7,10.50,107,"northern Mid-Atlantic Ridge"
ak,10273042,1,"Wednesday, July 20, 2011 02:33:07 UTC",60.7274,-142.7217,1.2,18.50,10,"Southern Alaska"
ak,10273040,1,"Wednesday, July 20, 2011 02:26:23 UTC",61.6106,-148.2285,1.0,13.70, 9,"Southern Alaska"
nc,71604015,0,"Wednesday, July 20, 2011 02:19:56 UTC",38.8248,-122.8545,1.1,2.20,19,"Northern California"
ci,15020852,2,"Wednesday, July 20, 2011 01:57:24 UTC",33.7630,-116.9238,1.2,13.50,64,"Southern California"
mb,27307,1,"Wednesday, July 20, 2011 01:49:23 UTC",45.3491,-112.5015,1.5,0.20,22,"western Montana"
nc,71603995,0,"Wednesday, July 20, 2011 01:47:24 UTC",38.7942,-122.8000,1.0,3.60,19,"Northern California"
mb,27306,1,"Wednesday, July 20, 2011 01:03:07 UTC",45.3691,-112.5110,1.8,0.00,26,"western Montana"
ak,10272837,1,"Wednesday, July 20, 2011 00:35:52 UTC",61.0671,-146.4940,1.6,17.60,13,"Southern Alaska"
ci,15020828,2,"Wednesday, July 20, 2011 00:19:03 UTC",34.7148,-116.2990,1.3,8.40,16,"Southern California"
ci,15020820,2,"Wednesday, July 20, 2011 00:13:59 UTC",32.8838,-115.5090,1.2,7.50,11,"Southern California"
ci,15020804,3,"Wednesday, July 20, 2011 00:01:07 UTC",32.8715,-115.5057,3.0,15.00,41,"Southern California"
ak,10272797,1,"Tuesday, July 19, 2011 23:59:31 UTC",64.4259,-147.4384,1.2,9.90, 9,"Central Alaska"
nm,071911d,A,"Tuesday, July 19, 2011 23:43:25 UTC",35.3494,-92.6723,2.1,9.80, 9,"Arkansas"
ak,10272744,1,"Tuesday, July 19, 2011 23:33:09 UTC",63.9470,-148.8642,1.4,0.00,10,"Central Alaska"
ci,15020796,2,"Tuesday, July 19, 2011 23:21:39 UTC",32.8748,-115.4987,2.1,13.70,31,"Southern California"
ci,15020780,2,"Tuesday, July 19, 2011 23:06:04 UTC",32.8765,-115.5205,1.5,5.00,18,"Southern California"
nc,71603930,0,"Tuesday, July 19, 2011 22:14:20 UTC",38.8355,-122.8003,1.3,2.60,17,"Northern California"
ci,15020764,2,"Tuesday, July 19, 2011 22:09:37 UTC",33.0445,-114.9362,1.6,0.00, 7,"Southern California"
at,00lolpe0,1,"Tuesday, July 19, 2011 22:06:00 UTC",19.3100,-63.1250,4.0,35.00,15,"Anguilla region, Leeward Islands"
pr,11200008,0,"Tuesday, July 19, 2011 21:51:08 UTC",17.8020,-65.9990,2.2,11.00, 5,"Puerto Rico region"
ci,15020756,2,"Tuesday, July 19, 2011 21:18:31 UTC",33.6087,-116.9315,1.2,7.80,53,"Southern California"
